Community,Region,Size,Year,Layout,Floor,Elevator,Renovation,Direction,Price,PrePrice
草桥东路16号楼,丰台,63.45,,2室1厅,中楼层,有,简装,南北,386.0,370.14
富力惠兰美居,通州,77.73,,2室1厅,高楼层,有,精装,东西北,239.0,507.37
田家园小区,房山,116.97,,3室2厅,中楼层,无,精装,南北,142.0,455.27
八里庄北里小区,朝阳,82.78,,3室1厅,中楼层,有,精装,东西,369.0,374.56
世纪星城三期,通州,99.51,,2室2厅,高楼层,有,精装,南北,459.0,564.43
加气混凝土厂宿舍,海淀,57.5,,2室1厅,顶层,无,简装,南北,318.0,286.14
西马庄园,通州,64.05,,2室1厅,中楼层,无,简装,南北,188.0,384.68
四合巷小区,房山,64.7,1990.0,2室1厅,顶层,无,简装,南北,112.0,265.75
凤凰城三期,朝阳,115.25,2006.0,2室1厅,低楼层,有,精装,南,1366.0,554.75
南苑北里二区,丰台,50.24,,1室1厅,中楼层,无,简装,南北,165.0,263.49
领秀新硅谷2号院,海淀,142.73,,3室2厅,中楼层,有,精装,东南西,1240.0,687.45
首创悦都汇,大兴,73.29,,2室1厅,低楼层,有,简装,西北,146.0,353.45
翠微东里,海淀,43.1,,1室1厅,低楼层,有,精装,南,450.0,278.21
金地国际花园,朝阳,266.15,,4室2厅,高楼层,有,精装,南北,3200.0,1032.1
流星花园三区,昌平,101.31,2004.0,2室1厅,低楼层,有,简装,南北,439.0,403.49
青荷里南山园,朝阳,88.03,2015.0,2室1厅,中楼层,有,精装,南北,329.0,364.49
峻峰华亭,朝阳,195.12,2004.0,3室2厅,中楼层,有,简装,南北,1100.0,851.19
团结湖中路南三条,朝阳,55.72,1981.0,2室1厅,低楼层,无,精装,南,355.0,248.67
当代采育满庭春MOMA,大兴,94.73,,2室2厅,低楼层,有,精装,南北,153.0,421.42
角门12号院,丰台,52.64,2000.0,1室1厅,底层,有,简装,西,228.0,315.59
当代采育满庭春MOMA,大兴,122.57,,3室1厅,中楼层,有,简装,南北,177.0,599.79
新街坊,朝阳,75.2,2004.0,2室1厅,中楼层,有,精装,东南,455.0,348.83
小乘巷,西城,54.0,,2室1厅,高楼层,无,简装,南北,675.0,298.46
西马金润二区,丰台,75.6,1996.0,2室1厅,低楼层,无,毛坯,南北西南,369.0,326.31
演乐胡同,东城,16.9,,1室0厅,底层,暂无数据,精装,北,255.0,395.88
公园五号,朝阳,57.05,2010.0,1室0厅,高楼层,有,精装,东,378.0,319.67
汇景苑四区,朝阳,88.52,,2室1厅,高楼层,有,简装,南,425.0,350.59
国融国际,亦庄开发区,47.78,,1室1厅,高楼层,有,简装,西南,145.0,337.22
富力惠兰美居,通州,46.1,2015.0,1室1厅,中楼层,有,简装,东,145.0,415.28
瑞雪春堂,房山,58.25,,1室0厅,低楼层,有,简装,南,158.0,305.1
